Feature_ID	mz	rt
1	58.30138729	0.687812833
2	61.98682243	5.11678115
3	61.98681003	0.533764027
4	68.01266283	5.1452889
5	69.01127288	5.105204367
6	71.04860439	2.162341083
7	73.0278856	0.86587825
8	75.00713645	0.070743412
9	75.0071411	0.275269365
10	78.91717776	0.484713817
11	80.91522262	0.488608942
12	80.97330105	0.486944693
13	81.97652619	0.488943313
14	82.95256485	4.6789689
15	82.95255317	5.116998133
16	82.97035957	0.48170842
17	82.97735806	0.485529697
18	83.97358382	0.511981467
19	84.00742902	0.053068598
20	84.00744325	2.0138409
21	85.00280631	5.222412483
22	85.00280843	5.869637267
23	85.00280659	5.574400433
24	85.00281402	4.825013233
25	85.00282071	0.05134929
26	85.00281651	4.515702967
27	85.00281127	0.274734347
28	87.0071777	0.284338118
29	87.0071729	0.070630913
30	87.04344896	2.092687917
31	88.98650854	0.072904099
32	88.98651113	0.275710793
33	88.98652826	1.716673033
34	88.98646452	2.105724433
35	89.02283592	0.599481687
36	90.02615069	0.599255155
37	90.97977268	0.22718035
38	90.97978955	2.800084033
39	91.01150457	0.236535288
40	91.02470572	0.21722151
41	91.02687987	0.604104073
42	91.02306652	2.906818033
43	92.00538328	0.058757882
44	92.00537503	0.283735697
45	92.92640233	0.455401117
46	94.92344976	0.449937967
47	96.92047843	0.445472067
48	96.95854896	0.051598211
49	96.96799335	0.465279463
50	96.95854135	0.265153117
51	96.95853815	2.753145333
52	98.93751538	4.931772133
53	100.002247	0.051454631
54	100.9320868	4.673537833
55	100.9320841	5.373777033
56	100.9319071	2.44635365
57	100.9320712	4.946436717
58	100.9320869	5.140100767
59	100.9320926	5.908123633
60	101.0226895	0.571951147
61	101.9321329	4.926749267
62	101.932092	4.6787962
63	102.9303975	4.9402904
64	102.9552411	0.397010337
65	103.0385115	1.189573967
66	103.0384712	0.94123763
67	103.0384957	0.2653285
68	103.9584384	0.387899167
69	104.9523072	0.390132815
70	105.0176855	0.464206793
71	106.0395728	5.843575267
72	106.0395732	4.784320583
73	106.0395667	5.511518867
74	106.0395839	5.164472233
75	106.0395632	4.38238885
76	107.0348732	4.6857301
77	108.9003657	0.45629496
78	110.8973876	0.45710226
79	111.0070594	0.67832779
80	112.0048793	5.021864967
81	112.0048642	4.6978371
82	112.0048556	5.7259962
83	112.0048637	5.373612767
84	112.8943282	0.459362302
85	112.9840861	0.370382598
86	112.984027	0.075086122
87	112.9841905	5.927030867
88	112.9841919	4.697927533
89	112.9841939	5.6474199
90	112.984245	5.383184867
91	112.984264	5.113959067
92	113.0011335	5.026320467
93	113.0011321	5.373739733
94	113.0011592	4.697900783
95	113.0011052	5.67829275
96	113.0011018	5.929513883
97	113.0010449	3.759218167
98	113.001052	4.277889133
99	113.0227269	0.40776573
100	113.0180517	5.112735817
101	113.9245766	4.926643667
102	113.9873029	0.364153768
103	114.9881981	0.360566193
104	115.0020639	0.52860554
105	115.0384989	2.026551433
106	115.9191962	4.964787167
107	115.9192129	4.674202033
108	115.9192025	5.381420167
109	115.9192081	5.917344667
110	116.0336306	0.577147355
111	116.0416493	2.027214933
112	116.9269175	4.955344433
113	116.9269373	4.6766974
114	116.9269594	0.17514369
115	116.926956	4.3439221
116	116.9269717	2.588671817
117	116.9269745	2.820249667
118	116.927017	5.3751785
119	116.9269474	3.7500201
120	117.017761	0.865137365
121	117.0541729	2.156769983
122	117.9270394	4.945683
123	117.9271306	4.6746372
124	118.0210652	0.86771746
125	118.057449	2.1706056
126	118.9291948	0.38919058
127	118.9226342	4.951134467
128	118.9225321	2.425664517
129	119.0333126	0.514160897
130	120.9261495	0.389770743
131	121.9980961	5.116784733
132	123.007018	0.20728363
133	124.0057948	0.41196118
134	124.038824	2.428572267
135	124.9994943	0.59811931
136	126.9032598	4.9939713
137	126.9964602	0.597761833
138	128.0337618	0.696679467
139	128.9580403	0.37076119
140	129.0177535	1.872221417
141	129.0369978	0.69635135
142	129.0542425	2.570293033
143	130.0209356	1.882014
144	130.0492868	0.921888863
145	130.0574576	2.553416233
146	130.060586	0.45710226
147	130.9560607	0.37090968
148	130.9820412	0.332355928
149	131.0334013	2.0860864
150	131.0334227	1.866433283
151	131.0698045	2.472970733
152	132.0286785	0.455003167
153	132.0730902	2.469928333
154	132.898541	4.955133383
155	132.9219809	4.958057133
156	132.9219433	4.672440467
157	132.9219825	5.383241367
158	132.9219355	5.81867065
159	132.9447245	0.48110385
160	133.0127048	0.53321904
161	133.048975	0.685983042
162	133.9219746	4.9076317
163	134.0159894	0.525671397
164	134.893122	4.962622817
165	134.8931855	0.509916615
166	134.8930963	4.669131867
167	134.8931227	0.783044597
168	134.8931516	5.383365583
169	134.94168	0.481074037
170	135.0168651	0.5237268
171	135.0283452	0.471726448
172	135.8931518	4.964521317
173	135.9694243	5.117322833
174	136.0317445	0.428015213
175	136.890094	4.955046533
176	136.8901348	0.505187957
177	137.0228071	2.8704452
178	138.9192837	0.450365233
179	139.0383886	2.558739433
180	142.9273501	4.926759983
181	142.973446	0.47269618
182	143.0333273	2.211034217
183	143.0333283	0.406605477
184	144.0285966	0.541979743
185	144.0438085	2.7349353
186	144.0650017	1.402308533
187	144.9220724	4.964806633
188	144.9220718	4.6730619
189	144.9220734	5.382917033
190	144.9220929	5.884034217
191	145.0127289	0.605537303
192	145.0490194	2.153271783
193	145.0490791	1.706422567
194	145.0602523	0.419240798
195	145.0853722	2.767004917
196	145.9221723	4.9362797
197	145.9221089	4.673813533
198	145.9220789	5.382409633
199	146.0160218	0.58326286
200	146.0443619	0.442126473
201	146.9203679	4.903456133
