	origin	Formula	Neutral_mass	mz	md	inclusion
HMDB29973	Endogenous	C69H112O21	1276.769611	1275.762334	0.7623344	n
HMDB32818	Endogenous	C60H98O29	1282.619377	1281.6121	0.6121004	n
HMDB13023	Endogenous	C57H90N18O16	1282.678219	1281.670942	0.6709424	n
HMDB06594	Endogenous	C48H79N3O37	1289.439241	1288.431964	0.4319644	n
HMDB29974	Endogenous	C66H116O24	1292.785655	1291.778378	0.7783784	n
HMDB29927	Endogenous	C48H80O40	1296.422587	1295.41531	0.4153104	n
HMDB39294	Endogenous	C60H96O30	1296.598642	1295.591365	0.5913654	n
HMDB37259	Endogenous	C60H98O30	1298.614292	1297.607015	0.6070154	n
HMDB04936	Endogenous	C61H109N3O26	1299.729931	1298.722654	0.7226544	n
HMDB11894	Endogenous	C62H112N2O26	1300.750332	1299.743055	0.7430554	n
HMDB36480	Endogenous	C62H94O29	1302.588077	1301.5808	0.5808004	n
HMDB12184	Endogenous	C58H85CoN16O14P	1319.550078	1318.542801	0.5428014	n
HMDB36486	Endogenous	C66H96O27	1320.613898	1319.606621	0.6066214	n
HMDB31165	Endogenous	C63H102O29	1322.650677	1321.6434	0.6434004	n
HMDB31166	Endogenous	C63H102O29	1322.650677	1321.6434	0.6434004	n
HMDB11909	Endogenous	C64H114N2O26	1326.765982	1325.758705	0.7587054	n
HMDB03429	Endogenous	C62H88CoN13O14P	1328.564331	1327.557054	0.5570544	n
HMDB11895	Endogenous	C64H116N2O26	1328.781632	1327.774355	0.7743554	n
HMDB06316	Endogenous	C62H89CoN13O14P	1329.572156	1328.564879	0.5648794	n
HMDB33396	Endogenous	C63H102O30	1338.645592	1337.638315	0.6383154	n
HMDB33807	Endogenous	C62H100O31	1340.624856	1339.617579	0.6175794	n
HMDB02274	Endogenous	C63H91CoN13O14P	1343.587806	1342.580529	0.5805294	n
HMDB06559	Endogenous	C54H68N14O27	1344.437833	1343.430556	0.4305564	n
HMDB02308	Endogenous	C62H90CoN13O15P	1346.574896	1345.567619	0.5676194	n
HMDB03458	Endogenous	C62H90CoN13O15P	1346.574896	1345.567619	0.5676194	n
HMDB01897	Endogenous	C63H98N18O13S	1346.728146	1345.720869	0.7208694	n
HMDB12306	Endogenous	C71H116N2O18P2	1346.769838	1345.762561	0.7625614	n
HMDB12218	Endogenous	C86H143O9P	1351.046973	1350.039696	0.0396964	n
HMDB36252	Endogenous	C63H100O31	1352.624856	1351.617579	0.6175794	n
HMDB04938	Endogenous	C65H117N3O26	1355.792531	1354.785254	0.7852544	n
HMDB12256	Endogenous	C62H121NO26P2	1357.765206	1356.757929	0.7579294	n
HMDB06668	Endogenous	C51H85N3O39	1363.47602	1362.468743	0.4687434	n
HMDB05823	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB06616	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB06618	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB06619	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB06622	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB06694	Endogenous	C52H88N2O39	1364.496421	1363.489144	0.4891444	n
HMDB34379	Endogenous	C64H100O31	1364.624856	1363.617579	0.6175794	n
HMDB39481	Endogenous	C64H100O31	1364.624856	1363.617579	0.6175794	n
HMDB30253	Endogenous	C64H108O31	1372.687457	1371.68018	0.6801804	n
HMDB34417	Endogenous	C62H102O33	1374.630336	1373.623059	0.6230594	n
HMDB39830	Endogenous	C62H104O33	1376.645986	1375.638709	0.6387094	n
HMDB37221	Endogenous	C65H102O31	1378.640507	1377.63323	0.6332304	n
HMDB39410	Endogenous	C65H104O31	1380.656157	1379.64888	0.6488804	n
HMDB05176	Endogenous	C100H164O	1381.27822	1380.270943	0.2709434	n
HMDB41355	Endogenous	C65H106O31	1382.671807	1381.66453	0.6645304	n
HMDB04911	Endogenous	C64H113N3O29	1387.745975	1386.738698	0.7386984	n
HMDB11856	Endogenous	C64H115N3O29	1389.761625	1388.754348	0.7543484	n
HMDB06677	Endogenous	C53H89N3O39	1391.50732	1390.500043	0.5000434	n
HMDB36985	Endogenous	C66H104O31	1392.656157	1391.64888	0.6488804	n
HMDB31961	Endogenous	C66H106O31	1394.671807	1393.66453	0.6645304	n
HMDB34542	Endogenous	C65H106O32	1398.666721	1397.659444	0.6594444	n
HMDB39417	Endogenous	C65H106O32	1398.666721	1397.659444	0.6594444	n
HMDB39342	Endogenous	C70H114O28	1402.749663	1401.742386	0.7423864	n
HMDB39474	Endogenous	C70H114O28	1402.749663	1401.742386	0.7423864	n
HMDB34389	Endogenous	C65H102O33	1410.630336	1409.623059	0.6230594	n
HMDB31960	Endogenous	C66H106O32	1410.666721	1409.659444	0.6594444	n
HMDB39289	Endogenous	C66H106O32	1410.666721	1409.659444	0.6594444	n
HMDB11871	Endogenous	C66H117N3O29	1415.777275	1414.769998	0.7699984	n
HMDB11857	Endogenous	C66H119N3O29	1417.792925	1416.785648	0.7856484	n
HMDB35350	Endogenous	C65H110O33	1418.692936	1417.685659	0.6856594	n
HMDB34082	Endogenous	C63H106O35	1422.651465	1421.644188	0.6441884	n
HMDB39714	Endogenous	C63H106O35	1422.651465	1421.644188	0.6441884	n
HMDB31443	Endogenous	C64H106O35	1434.651465	1433.644188	0.6441884	n
HMDB06676	Endogenous	C54H89N3O41	1435.497149	1434.489872	0.4898724	n
HMDB36273	Endogenous	C67H104O33	1436.645986	1435.638709	0.6387094	n
HMDB39476	Endogenous	C67H104O33	1436.645986	1435.638709	0.6387094	n
HMDB06691	Endogenous	C54H91N3O41	1437.512799	1436.505522	0.5055224	n
HMDB31167	Endogenous	C68H110O33	1454.692936	1453.685659	0.6856594	n
HMDB04853	Endogenous	C67H119N3O31	1461.782754	1460.775477	0.7754774	n
HMDB12264	Endogenous	C88H147NO12P2	1472.039852	1471.032575	0.0325754	n
HMDB13001	Endogenous	C54H92O46	1476.485976	1475.478699	0.4786994	n
HMDB32940	Endogenous	C68H110O35	1486.682765	1485.675488	0.6754884	n
HMDB32195	Endogenous	C42H74O46S6	1506.177549	1505.170272	0.1702724	n
HMDB06669	Endogenous	C57H95N3O43	1509.533929	1508.526652	0.5266524	n
HMDB06621	Endogenous	C58H98N2O43	1510.55433	1509.547053	0.5470534	n
HMDB37222	Endogenous	C70H110O35	1510.682765	1509.675488	0.6754884	n
HMDB33715	Endogenous	C68H112O37	1520.688245	1519.680968	0.6809684	n
HMDB13071	Endogenous	C72H98N16O17S2	1522.673727	1521.66645	0.6664504	n
HMDB03404	Endogenous	C56H103N9O39	1525.635315	1524.628038	0.6280384	n
HMDB34390	Endogenous	C70H110O37	1542.672595	1541.665318	0.6653184	n
HMDB39416	Endogenous	C71H116O37	1560.719545	1559.712268	0.7122684	n
HMDB39112	Endogenous	C75H116O34	1560.734801	1559.727524	0.7275244	n
HMDB30733	Endogenous	C76H124O33	1564.802486	1563.795209	0.7952094	n
HMDB34044	Endogenous	C76H124O33	1564.802486	1563.795209	0.7952094	n
HMDB36275	Endogenous	C72H112O37	1568.688245	1567.680968	0.6809684	n
HMDB02086	Endogenous	C72H100CoN18O17P	1578.658346	1577.651069	0.6510694	n
HMDB36274	Endogenous	C73H114O37	1582.703895	1581.696618	0.6966184	n
HMDB29805	Endogenous	C68H48O45	1584.14676	1583.139483	0.1394834	n
HMDB36958	Endogenous	C72H112O38	1584.683159	1583.675882	0.6758824	n
HMDB36959	Endogenous	C73H114O38	1598.698809	1597.691532	0.6915324	n
HMDB36954	Endogenous	C73H114O39	1614.693724	1613.686447	0.6864474	n
HMDB36948	Endogenous	C74H114O39	1626.693724	1625.686447	0.6864474	n
HMDB36955	Endogenous	C74H116O39	1628.709374	1627.702097	0.7020974	n
HMDB02202	Endogenous	C72H104CoN16O20PS	1634.640312	1633.633035	0.6330354	n
HMDB06798	Endogenous	C60H102O51	1638.538799	1637.531522	0.5315224	n
HMDB12999	Endogenous	C60H102O51	1638.538799	1637.531522	0.5315224	n
HMDB36949	Endogenous	C75H116O39	1640.709374	1639.702097	0.7020974	n
HMDB11887	Endogenous	C81H148N2O31	1645.006606	1643.999329	0.9993294	n
HMDB13072	Endogenous	C77H106N18O19S2	1650.732305	1649.725028	0.7250284	n
HMDB06680	Endogenous	C62H102N4O47	1654.571437	1653.56416	0.5641604	n
HMDB06681	Endogenous	C62H102N4O47	1654.571437	1653.56416	0.5641604	n
HMDB11889	Endogenous	C82H148N2O31	1657.006606	1655.999329	0.9993294	n
HMDB04861	Endogenous	C81H147N3O31	1658.001855	1656.994578	0.9945784	n
HMDB11888	Endogenous	C82H150N2O31	1659.022256	1658.014979	0.0149794	n
HMDB12185	Endogenous	C68H97CoN21O21P2	1664.597512	1663.590235	0.5902354	n
HMDB30517	Endogenous	C71H84N18O18S6	1668.453522	1667.446245	0.4462454	n
HMDB36265	Endogenous	C76H120O40	1672.735589	1671.728312	0.7283124	n
HMDB12126	Endogenous	C96H160N2O17P2	1675.119225	1674.111948	0.1119484	n
HMDB36272	Endogenous	C76H120O41	1688.730503	1687.723226	0.7232264	n
HMDB33407	Endogenous	C77H120O41	1700.730503	1699.723226	0.7232264	n
HMDB36279	Endogenous	C77H120O41	1700.730503	1699.723226	0.7232264	n
HMDB39411	Endogenous	C77H124O41	1704.761803	1703.754526	0.7545264	n
HMDB36278	Endogenous	C78H122O41	1714.746153	1713.738876	0.7388764	n
HMDB30497	Endogenous	C75H52O48	1720.162804	1719.155527	0.1555274	n
HMDB36956	Endogenous	C78H122O42	1730.741068	1729.733791	0.7337914	n
HMDB11844	Endogenous	C83H149N3O34	1732.002249	1730.994972	0.9949724	n
HMDB36942	Endogenous	C78H124O42	1732.756718	1731.749441	0.7494414	n
HMDB06650	Endogenous	C95H168N4O23	1733.209938	1732.202661	0.2026614	n
HMDB32436	Endogenous	C100H188O22	1741.359228	1740.351951	0.3519514	n
HMDB11855	Endogenous	C84H149N3O34	1744.002249	1742.994972	0.9949724	n
HMDB36957	Endogenous	C79H124O42	1744.756718	1743.749441	0.7494414	n
HMDB11846	Endogenous	C84H151N3O34	1746.017899	1745.010622	0.0106224	n
HMDB36950	Endogenous	C78H122O43	1746.735983	1745.728706	0.7287064	n
HMDB04929	Endogenous	C84H148N4O34	1756.997498	1755.990221	0.9902214	n
HMDB11848	Endogenous	C85H151N3O34	1758.017899	1757.010622	0.0106224	n
HMDB04932	Endogenous	C84H150N4O34	1759.013148	1758.005871	0.0058714	n
HMDB11847	Endogenous	C85H153N3O34	1760.033549	1759.026272	0.0262724	n
HMDB36951	Endogenous	C79H124O43	1760.751633	1759.744356	0.7443564	n
HMDB04934	Endogenous	C85H152N4O34	1773.028798	1772.021521	0.0215214	n
HMDB11849	Endogenous	C86H155N3O34	1774.049199	1773.041922	0.0419224	n
HMDB04930	Endogenous	C86H152N4O34	1785.028798	1784.021521	0.0215214	n
HMDB11851	Endogenous	C87H155N3O34	1786.049199	1785.041922	0.0419224	n
HMDB04931	Endogenous	C86H154N4O34	1787.044448	1786.037171	0.0371714	n
HMDB11850	Endogenous	C87H157N3O34	1788.064849	1787.057572	0.0575724	n
HMDB36952	Endogenous	C80H124O44	1788.746547	1787.73927	0.7392704	n
HMDB36953	Endogenous	C81H126O44	1802.762197	1801.75492	0.7549204	n
HMDB29924	Endogenous	C76H114O49	1810.64287	1809.635593	0.6355934	n
HMDB12060	Endogenous	C85H150N4O37	1818.997892	1817.990615	0.9906154	n
HMDB12074	Endogenous	C85H150N4O37	1818.997892	1817.990615	0.9906154	n
HMDB12059	Endogenous	C85H152N4O37	1821.013542	1820.006265	0.0062654	n
HMDB12076	Endogenous	C86H152N4O37	1833.013542	1832.006265	0.0062654	n
HMDB12061	Endogenous	C86H154N4O37	1835.029192	1834.021915	0.0219154	n
HMDB12255	Endogenous	C102H170N2O22P2	1837.172048	1836.164771	0.1647714	n
HMDB12078	Endogenous	C87H152N4O37	1845.013542	1844.006265	0.0062654	n
HMDB12063	Endogenous	C87H154N4O37	1847.029192	1846.021915	0.0219154	n
HMDB12077	Endogenous	C87H154N4O37	1847.029192	1846.021915	0.0219154	n
HMDB12062	Endogenous	C87H156N4O37	1849.044842	1848.037565	0.0375654	n
HMDB12079	Endogenous	C88H156N4O37	1861.044842	1860.037565	0.0375654	n
HMDB12064	Endogenous	C88H158N4O37	1863.060492	1862.053215	0.0532154	n
HMDB11798	Endogenous	C87H153N3O39	1864.008122	1863.000845	0.0008454	n
HMDB11828	Endogenous	C87H153N3O39	1864.008122	1863.000845	0.0008454	n
HMDB11783	Endogenous	C87H155N3O39	1866.023772	1865.016495	0.0164954	n
HMDB11813	Endogenous	C87H155N3O39	1866.023772	1865.016495	0.0164954	n
HMDB29526	Endogenous	C82H54O52	1870.158112	1869.150835	0.1508354	n
HMDB12081	Endogenous	C89H156N4O37	1873.044842	1872.037565	0.0375654	n
HMDB12066	Endogenous	C89H158N4O37	1875.060492	1874.053215	0.0532154	n
HMDB12080	Endogenous	C89H158N4O37	1875.060492	1874.053215	0.0532154	n
HMDB12065	Endogenous	C89H160N4O37	1877.076142	1876.068865	0.0688654	n
HMDB11800	Endogenous	C89H155N3O39	1890.023772	1889.016495	0.0164954	n
HMDB11830	Endogenous	C89H155N3O39	1890.023772	1889.016495	0.0164954	n
HMDB11785	Endogenous	C89H157N3O39	1892.039422	1891.032145	0.0321454	n
HMDB11799	Endogenous	C89H157N3O39	1892.039422	1891.032145	0.0321454	n
HMDB11815	Endogenous	C89H157N3O39	1892.039422	1891.032145	0.0321454	n
HMDB11829	Endogenous	C89H157N3O39	1892.039422	1891.032145	0.0321454	n
HMDB11784	Endogenous	C89H159N3O39	1894.055072	1893.047795	0.0477954	n
HMDB11814	Endogenous	C89H159N3O39	1894.055072	1893.047795	0.0477954	n
HMDB11801	Endogenous	C90H159N3O39	1906.055072	1905.047795	0.0477954	n
HMDB11831	Endogenous	C90H159N3O39	1906.055072	1905.047795	0.0477954	n
HMDB11786	Endogenous	C90H161N3O39	1908.070722	1907.063445	0.0634454	n
HMDB11816	Endogenous	C90H161N3O39	1908.070722	1907.063445	0.0634454	n
HMDB11803	Endogenous	C91H159N3O39	1918.055072	1917.047795	0.0477954	n
HMDB11833	Endogenous	C91H159N3O39	1918.055072	1917.047795	0.0477954	n
HMDB11788	Endogenous	C91H161N3O39	1920.070722	1919.063445	0.0634454	n
HMDB11802	Endogenous	C91H161N3O39	1920.070722	1919.063445	0.0634454	n
HMDB11818	Endogenous	C91H161N3O39	1920.070722	1919.063445	0.0634454	n
HMDB11832	Endogenous	C91H161N3O39	1920.070722	1919.063445	0.0634454	n
HMDB11787	Endogenous	C91H163N3O39	1922.086372	1921.079095	0.0790954	n
HMDB11817	Endogenous	C91H163N3O39	1922.086372	1921.079095	0.0790954	n
HMDB11804	Endogenous	C92H163N3O39	1934.086372	1933.079095	0.0790954	n
HMDB11834	Endogenous	C92H163N3O39	1934.086372	1933.079095	0.0790954	n
HMDB11789	Endogenous	C92H165N3O39	1936.102023	1935.094746	0.0947464	n
HMDB11819	Endogenous	C92H165N3O39	1936.102023	1935.094746	0.0947464	n
HMDB12024	Endogenous	C88H154N4O42	1939.003765	1937.996488	0.9964884	n
HMDB11806	Endogenous	C93H163N3O39	1946.086372	1945.079095	0.0790954	n
HMDB11836	Endogenous	C93H163N3O39	1946.086372	1945.079095	0.0790954	n
HMDB11791	Endogenous	C93H165N3O39	1948.102023	1947.094746	0.0947464	n
HMDB11805	Endogenous	C93H165N3O39	1948.102023	1947.094746	0.0947464	n
HMDB11821	Endogenous	C93H165N3O39	1948.102023	1947.094746	0.0947464	n
HMDB11835	Endogenous	C93H165N3O39	1948.102023	1947.094746	0.0947464	n
HMDB11790	Endogenous	C93H167N3O39	1950.117673	1949.110396	0.1103964	n
HMDB11820	Endogenous	C93H167N3O39	1950.117673	1949.110396	0.1103964	n
HMDB12041	Endogenous	C90H154N4O42	1963.003765	1961.996488	0.9964884	n
HMDB12042	Endogenous	C90H154N4O42	1963.003765	1961.996488	0.9964884	n
HMDB12026	Endogenous	C90H156N4O42	1965.019415	1964.012138	0.0121384	n
HMDB12027	Endogenous	C90H156N4O42	1965.019415	1964.012138	0.0121384	n
HMDB12040	Endogenous	C90H156N4O42	1965.019415	1964.012138	0.0121384	n
HMDB12025	Endogenous	C90H158N4O42	1967.035065	1966.027788	0.0277884	n
HMDB12043	Endogenous	C92H160N4O42	1993.050715	1992.043438	0.0434384	n
HMDB12028	Endogenous	C92H162N4O42	1995.066365	1994.059088	0.0590884	n
HMDB12118	Endogenous	C108H180N2O27P2	1999.224872	1998.217595	0.2175954	n
HMDB30278	Endogenous	C85H144N26O28S	2009.036409	2008.029132	0.0291324	n
HMDB12045	Endogenous	C94H162N4O42	2019.066365	2018.059088	0.0590884	n
HMDB12030	Endogenous	C94H164N4O42	2021.082015	2020.074738	0.0747384	n
HMDB12044	Endogenous	C94H164N4O42	2021.082015	2020.074738	0.0747384	n
HMDB12029	Endogenous	C94H166N4O42	2023.097665	2022.090388	0.0903884	n
HMDB12046	Endogenous	C95H166N4O42	2035.097665	2034.090388	0.0903884	n
HMDB12031	Endogenous	C95H168N4O42	2037.113316	2036.106039	0.1060394	n
HMDB11962	Endogenous	C90H156N4O47	2044.993988	2043.986711	0.9867114	n
HMDB11992	Endogenous	C90H156N4O47	2044.993988	2043.986711	0.9867114	n
HMDB12048	Endogenous	C96H166N4O42	2047.097665	2046.090388	0.0903884	n
HMDB12033	Endogenous	C96H168N4O42	2049.113316	2048.106039	0.1060394	n
HMDB12047	Endogenous	C96H168N4O42	2049.113316	2048.106039	0.1060394	n
HMDB12032	Endogenous	C96H170N4O42	2051.128966	2050.121689	0.1216894	n
HMDB12049	Endogenous	C97H170N4O42	2063.128966	2062.121689	0.1216894	n
HMDB12034	Endogenous	C97H172N4O42	2065.144616	2064.137339	0.1373394	n
HMDB11978	Endogenous	C92H158N4O47	2071.009638	2070.002361	0.0023614	n
HMDB12008	Endogenous	C92H158N4O47	2071.009638	2070.002361	0.0023614	n
HMDB11963	Endogenous	C92H160N4O47	2073.025288	2072.018011	0.0180114	n
HMDB11993	Endogenous	C92H160N4O47	2073.025288	2072.018011	0.0180114	n
HMDB12051	Endogenous	C98H170N4O42	2075.128966	2074.121689	0.1216894	n
HMDB12036	Endogenous	C98H172N4O42	2077.144616	2076.137339	0.1373394	n
HMDB12050	Endogenous	C98H172N4O42	2077.144616	2076.137339	0.1373394	n
HMDB12035	Endogenous	C98H174N4O42	2079.160266	2078.152989	0.1529894	n
HMDB11979	Endogenous	C94H162N4O47	2099.040938	2098.033661	0.0336614	n
HMDB12009	Endogenous	C94H162N4O47	2099.040938	2098.033661	0.0336614	n
HMDB11964	Endogenous	C94H164N4O47	2101.056589	2100.049312	0.0493124	n
HMDB11994	Endogenous	C94H164N4O47	2101.056589	2100.049312	0.0493124	n
HMDB11981	Endogenous	C96H164N4O47	2125.056589	2124.049312	0.0493124	n
HMDB11982	Endogenous	C96H164N4O47	2125.056589	2124.049312	0.0493124	n
HMDB12011	Endogenous	C96H164N4O47	2125.056589	2124.049312	0.0493124	n
HMDB12012	Endogenous	C96H164N4O47	2125.056589	2124.049312	0.0493124	n
HMDB11966	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB11967	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB11980	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB11996	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB11997	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB12010	Endogenous	C96H166N4O47	2127.072239	2126.064962	0.0649624	n
HMDB11965	Endogenous	C96H168N4O47	2129.087889	2128.080612	0.0806124	n
HMDB11995	Endogenous	C96H168N4O47	2129.087889	2128.080612	0.0806124	n
HMDB11983	Endogenous	C98H170N4O47	2155.103539	2154.096262	0.0962624	n
HMDB12013	Endogenous	C98H170N4O47	2155.103539	2154.096262	0.0962624	n
HMDB11968	Endogenous	C98H172N4O47	2157.119189	2156.111912	0.1119124	n
HMDB11998	Endogenous	C98H172N4O47	2157.119189	2156.111912	0.1119124	n
HMDB12119	Endogenous	C114H190N2O32P2	2161.277695	2160.270418	0.2704184	n
HMDB11985	Endogenous	C100H172N4O47	2181.119189	2180.111912	0.1119124	n
HMDB12015	Endogenous	C100H172N4O47	2181.119189	2180.111912	0.1119124	n
HMDB11970	Endogenous	C100H174N4O47	2183.134839	2182.127562	0.1275624	n
HMDB11984	Endogenous	C100H174N4O47	2183.134839	2182.127562	0.1275624	n
HMDB12000	Endogenous	C100H174N4O47	2183.134839	2182.127562	0.1275624	n
HMDB12014	Endogenous	C100H174N4O47	2183.134839	2182.127562	0.1275624	n
HMDB11969	Endogenous	C100H176N4O47	2185.150489	2184.143212	0.1432124	n
HMDB11999	Endogenous	C100H176N4O47	2185.150489	2184.143212	0.1432124	n
HMDB11986	Endogenous	C101H176N4O47	2197.150489	2196.143212	0.1432124	n
HMDB12016	Endogenous	C101H176N4O47	2197.150489	2196.143212	0.1432124	n
HMDB11971	Endogenous	C101H178N4O47	2199.166139	2198.158862	0.1588624	n
HMDB12001	Endogenous	C101H178N4O47	2199.166139	2198.158862	0.1588624	n
HMDB11988	Endogenous	C102H176N4O47	2209.150489	2208.143212	0.1432124	n
HMDB12018	Endogenous	C102H176N4O47	2209.150489	2208.143212	0.1432124	n
HMDB11973	Endogenous	C102H178N4O47	2211.166139	2210.158862	0.1588624	n
HMDB11987	Endogenous	C102H178N4O47	2211.166139	2210.158862	0.1588624	n
HMDB12003	Endogenous	C102H178N4O47	2211.166139	2210.158862	0.1588624	n
HMDB12017	Endogenous	C102H178N4O47	2211.166139	2210.158862	0.1588624	n
HMDB11972	Endogenous	C102H180N4O47	2213.181789	2212.174512	0.1745124	n
HMDB12002	Endogenous	C102H180N4O47	2213.181789	2212.174512	0.1745124	n
HMDB06625	Endogenous	C84H138N6O62	2222.783005	2221.775728	0.7757284	n
HMDB11989	Endogenous	C103H180N4O47	2225.181789	2224.174512	0.1745124	n
HMDB12019	Endogenous	C103H180N4O47	2225.181789	2224.174512	0.1745124	n
HMDB11974	Endogenous	C103H182N4O47	2227.197439	2226.190162	0.1901624	n
HMDB12004	Endogenous	C103H182N4O47	2227.197439	2226.190162	0.1901624	n
HMDB11991	Endogenous	C104H180N4O47	2237.181789	2236.174512	0.1745124	n
HMDB12021	Endogenous	C104H180N4O47	2237.181789	2236.174512	0.1745124	n
HMDB11976	Endogenous	C104H182N4O47	2239.197439	2238.190162	0.1901624	n
HMDB11990	Endogenous	C104H182N4O47	2239.197439	2238.190162	0.1901624	n
HMDB12006	Endogenous	C104H182N4O47	2239.197439	2238.190162	0.1901624	n
HMDB12020	Endogenous	C104H182N4O47	2239.197439	2238.190162	0.1901624	n
HMDB11975	Endogenous	C104H184N4O47	2241.213089	2240.205812	0.2058124	n
HMDB12005	Endogenous	C104H184N4O47	2241.213089	2240.205812	0.2058124	n
HMDB12120	Endogenous	C120H200N2O37P2	2323.330518	2322.323241	0.3232414	n
HMDB11947	Endogenous	C101H171N5O55	2334.073755	2333.066478	0.0664784	n
HMDB11932	Endogenous	C101H173N5O55	2336.089405	2335.082128	0.0821284	n
HMDB11948	Endogenous	C103H175N5O55	2362.105055	2361.097778	0.0977784	n
HMDB11933	Endogenous	C103H177N5O55	2364.120705	2363.113428	0.1134284	n
HMDB11949	Endogenous	C105H179N5O55	2390.136355	2389.129078	0.1290784	n
HMDB11934	Endogenous	C105H181N5O55	2392.152005	2391.144728	0.1447284	n
HMDB11951	Endogenous	C107H181N5O55	2416.152005	2415.144728	0.1447284	n
HMDB11952	Endogenous	C107H181N5O55	2416.152005	2415.144728	0.1447284	n
HMDB11936	Endogenous	C107H183N5O55	2418.167655	2417.160378	0.1603784	n
HMDB11937	Endogenous	C107H183N5O55	2418.167655	2417.160378	0.1603784	n
HMDB11950	Endogenous	C107H183N5O55	2418.167655	2417.160378	0.1603784	n
HMDB11935	Endogenous	C107H185N5O55	2420.183305	2419.176028	0.1760284	n
HMDB11953	Endogenous	C109H187N5O55	2446.198955	2445.191678	0.1916784	n
HMDB11938	Endogenous	C109H189N5O55	2448.214605	2447.207328	0.2073284	n
HMDB11955	Endogenous	C111H189N5O55	2472.214605	2471.207328	0.2073284	n
HMDB11940	Endogenous	C111H191N5O55	2474.230255	2473.222978	0.2229784	n
HMDB11954	Endogenous	C111H191N5O55	2474.230255	2473.222978	0.2229784	n
HMDB11939	Endogenous	C111H193N5O55	2476.245905	2475.238628	0.2386284	n
HMDB12121	Endogenous	C126H210N2O42P2	2485.383342	2484.376065	0.3760654	n
HMDB11956	Endogenous	C112H193N5O55	2488.245905	2487.238628	0.2386284	n
HMDB11941	Endogenous	C112H195N5O55	2490.261555	2489.254278	0.2542784	n
HMDB11958	Endogenous	C113H193N5O55	2500.245905	2499.238628	0.2386284	n
HMDB11943	Endogenous	C113H195N5O55	2502.261555	2501.254278	0.2542784	n
HMDB11957	Endogenous	C113H195N5O55	2502.261555	2501.254278	0.2542784	n
HMDB11942	Endogenous	C113H197N5O55	2504.277206	2503.269929	0.2699294	n
HMDB11959	Endogenous	C114H197N5O55	2516.277206	2515.269929	0.2699294	n
HMDB11944	Endogenous	C114H199N5O55	2518.292856	2517.285579	0.2855794	n
HMDB11961	Endogenous	C115H197N5O55	2528.277206	2527.269929	0.2699294	n
HMDB11946	Endogenous	C115H199N5O55	2530.292856	2529.285579	0.2855794	n
HMDB11960	Endogenous	C115H199N5O55	2530.292856	2529.285579	0.2855794	n
HMDB11945	Endogenous	C115H201N5O55	2532.308506	2531.301229	0.3012294	n
HMDB12122	Endogenous	C132H220N2O47P2	2647.436165	2646.428888	0.4288884	n
HMDB12123	Endogenous	C138H230N2O52P2	2809.488989	2808.481712	0.4817124	n
HMDB12124	Endogenous	C144H240N2O57P2	2971.541812	2970.534535	0.5345354	n
HMDB12125	Endogenous	C150H250N2O62P2	3133.594636	3132.587359	0.5873594	n
HMDB12232	Endogenous	C156H260N2O67P2	3295.647459	3294.640182	0.6401824	n
HMDB30515	Endogenous	C148H227N39O38S5	3318.563278	3317.556001	0.5560014	n
HMDB12117	Endogenous	C162H270N2O72P2	3457.700282	3456.693005	0.6930054	n
HMDB42057	Endogenous	C145H234N52O44S3	3503.683361	3502.676084	0.6760844	n
HMDB00906	Food	C3H9N	59.07349929	58.06622269	0.06622269	n
HMDB34006	Food	C3H9N	59.07349929	58.06622269	0.06622269	n
HMDB35731	Food	BH3O3	62.01752443	61.01024783	0.01024783	n
HMDB35924	Food	C4H5N	67.04219917	66.03492257	0.03492257	n
HMDB33858	Food	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB34431	Food	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB34198	Food	C4H11N	73.08914936	72.08187276	0.08187276	n
HMDB40345	Food	C3H6S	74.01902088	73.01174428	0.01174428	n
HMDB00237	Food	C3H6O2	74.03677944	73.02950284	0.02950284	n
HMDB34155	Food	CH4N2S	76.00951883	75.00224223	0.00224223	n
HMDB34238	Food	C3H8S	76.03467095	75.02739435	0.02739435	n
HMDB34176	Food	C4H4N2	80.03744814	79.03017154	0.03017154	n
HMDB33113	Food	C5H7N	81.05784923	80.05057263	0.05057263	n
HMDB33114	Food	C5H7N	81.05784923	80.05057263	0.05057263	n
HMDB33529	Food	C5H9N	83.07349929	82.06622269	0.06622269	n
HMDB40173	Food	C5H9N	83.07349929	82.06622269	0.06622269	n
HMDB37788	Food	C5H8O	84.05751488	83.05023828	0.05023828	n
HMDB40584	Food	C5H8O	84.05751488	83.05023828	0.05023828	n
